Gene ,Gene Name,miRNA ,Target Score,Human
Lysmd2,"LysM, putative peptidoglycan-binding, domain containing 2",miR-340-5p,63,✓
Ccl28,chemokine (C-C motif) ligand 28,miR-340-5p,63,✓
Dnajc18,DnaJ heat shock protein family (Hsp40) member C18,miR-340-5p,63,✓
Usp39,ubiquitin specific peptidase 39,miR-340-5p,63,✓
Mad2l1,MAD2 mitotic arrest deficient-like 1,miR-340-5p,63,✓
Rgs4,regulator of G-protein signaling 4,miR-340-5p,63,✓
Smim15,small integral membrane protein 15,miR-340-5p,63,✓
Dock4,dedicator of cytokinesis 4,miR-340-5p,63,✓
Bdp1,"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB",miR-340-5p,63,✓
Erp44,endoplasmic reticulum protein 44,miR-340-5p,63,✓
Cxcl5,chemokine (C-X-C motif) ligand 5,miR-340-5p,63,✓
Net1,neuroepithelial cell transforming gene 1,miR-340-5p,63,✓
Dbf4,DBF4 zinc finger,miR-340-5p,63,✓
Lrp2,low density lipoprotein receptor-related protein 2,miR-340-5p,63,✓
Sntg2,"syntrophin, gamma 2",miR-340-5p,63,✓
Cntn3,contactin 3,miR-340-5p,63,✓
Neurog2,neurogenin 2,miR-340-5p,63,✓
Slc35f1,"solute carrier family 35, member F1",miR-340-5p,63,✓
Gm11992,predicted gene 11992,miR-340-5p,63,
Cep70,centrosomal protein 70,miR-340-5p,63,✓
Rev1,"REV1, DNA directed polymerase",miR-340-5p,63,✓
Mlf2,myeloid leukemia factor 2,miR-340-5p,63,✓
Cd247,CD247 antigen,miR-340-5p,63,✓
Ppbp,pro-platelet basic protein,miR-30e-5p,63,✓
Tmem252,transmembrane protein 252,miR-30e-5p,63,✓
Rab10,"RAB10, member RAS oncogene family",miR-30e-5p,63,✓
Pgap1,post-GPI attachment to proteins 1,miR-30e-5p,63,✓
Serpinb10,"serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 10",miR-30e-5p,63,✓
Sbf1,SET binding factor 1,miR-30e-5p,63,✓
Nrp2,neuropilin 2,miR-30e-5p,63,✓
Dcx,doublecortin,miR-30e-5p,63,✓
Fgf20,fibroblast growth factor 20,miR-30e-5p,63,✓
Lnx2,ligand of numb-protein X 2,miR-30e-5p,63,✓
Tmed10,transmembrane p24 trafficking protein 10,miR-30e-5p,63,✓
Bach1,"BTB and CNC homology 1, basic leucine zipper transcription factor 1",miR-30e-5p,63,✓
Casp6,caspase 6,miR-30e-5p,63,✓
Hps3,"HPS3, biogenesis of lysosomal organelles complex 2 subunit 1",miR-30e-5p,63,✓
Tor1b,"torsin family 1, member B",miR-30e-5p,63,✓
Cbx2,chromobox 2,miR-30e-5p,63,✓
Kpna6,karyopherin (importin) alpha 6,miR-30e-5p,63,✓
Gigyf1,GRB10 interacting GYF protein 1,miR-30e-5p,63,✓
U2surp,U2 snRNP-associated SURP domain containing,miR-30e-5p,63,✓
B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",miR-30e-5p,63,✓
Ifnar2,interferon (alpha and beta) receptor 2,miR-30e-5p,63,✓
Vps26b,VPS26 retromer complex component B,miR-30e-5p,63,✓
Raph1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,miR-30e-5p,63,✓
Ube2w,ubiquitin-conjugating enzyme E2W (putative),miR-30e-5p,63,✓
Ccdc9b,coiled-coil domain containing 9B,miR-30e-5p,63,✓
Katnal1,katanin p60 subunit A-like 1,miR-124-3p,63,✓
Vangl1,VANGL planar cell polarity 1,miR-124-3p,63,✓
Chst14,carbohydrate sulfotransferase 14,miR-124-3p,63,✓
Sertad2,SERTA domain containing 2,miR-124-3p,63,✓
Akt2,thymoma viral proto-oncogene 2,miR-124-3p,63,✓
Negr1,neuronal growth regulator 1,miR-124-3p,63,✓
Slc25a13,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13",miR-124-3p,63,✓
Oxsr1,oxidative-stress responsive 1,miR-124-3p,63,✓
Hmgxb4,HMG box domain containing 4,miR-124-3p,63,✓
Pdzd2,PDZ domain containing 2,miR-124-3p,63,✓
Efcab14,EF-hand calcium binding domain 14,miR-124-3p,63,✓
Reep1,receptor accessory protein 1,miR-124-3p,63,✓
Zfp704,zinc finger protein 704,miR-124-3p,63,
Actn4,actinin alpha 4,miR-124-3p,63,✓
Hsp90ab1,"heat shock protein 90 alpha (cytosolic), class B member 1",miR-124-3p,63,✓
Metap2,methionine aminopeptidase 2,miR-124-3p,63,✓
Ercc6l,excision repair cross-complementing rodent repair deficiency complementation group 6 like,miR-124-3p,63,✓
Rassf3,Ras association (RalGDS/AF-6) domain family member 3,miR-124-3p,63,✓
Slc22a15,"solute carrier family 22 (organic anion/cation transporter), member 15",miR-124-3p,63,✓
Rdh10,retinol dehydrogenase 10 (all-trans),miR-124-3p,63,✓
Il9r,interleukin 9 receptor,miR-124-3p,63,✓
Enox1,ecto-NOX disulfide-thiol exchanger 1,miR-124-3p,63,✓
Chrd,chordin,miR-124-3p,63,✓
Smad5,SMAD family member 5,miR-124-3p,63,✓
Rilpl1,Rab interacting lysosomal protein-like 1,miR-124-3p,63,✓
Daw1,dynein assembly factor with WDR repeat domains 1,miR-124-3p,63,✓
Tmem259,transmembrane protein 259,miR-124-3p,63,✓
Samd10,sterile alpha motif domain containing 10,miR-146a-5p,62,✓
Heca,"hdc homolog, cell cycle regulator",miR-146a-5p,62,✓
Strbp,spermatid perinuclear RNA binding protein,miR-146a-5p,62,✓
Rps15a,ribosomal protein S15A,miR-146a-5p,62,✓
Gm21119,"predicted gene, 21119",miR-146a-5p,62,
Rbl1,RB transcriptional corepressor like 1,miR-146a-5p,62,✓
Slc22a3,"solute carrier family 22 (organic cation transporter), member 3",miR-146a-5p,62,✓
Slc7a4,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 4",miR-146a-5p,62,✓
F2,coagulation factor II,miR-146a-5p,62,✓
Tacstd2,tumor-associated calcium signal transducer 2,miR-146a-5p,62,✓
Zfp955b,zinc finger protein 955B,miR-146a-5p,62,
Slc5a3,"solute carrier family 5 (inositol transporters), member 3",miR-146a-5p,62,✓
Zyx,zyxin,miR-146a-5p,62,✓
Shq1,SHQ1 homolog (S. cerevisiae),miR-146a-5p,62,✓
Klrb1f,killer cell lectin-like receptor subfamily B member 1F,miR-183-5p,62,
Parp16,"poly (ADP-ribose) polymerase family, member 16",miR-183-5p,62,✓
Dip2a,disco interacting protein 2 homolog A,miR-183-5p,62,✓
Srsf11,serine/arginine-rich splicing factor 11,miR-183-5p,62,✓
E230025N22Rik,Riken cDNA E230025N22 gene,miR-183-5p,62,
Serp1,stress-associated endoplasmic reticulum protein 1,miR-183-5p,62,✓
Tpm3,"tropomyosin 3, gamma",miR-183-5p,62,✓
Sik3,SIK family kinase 3,miR-183-5p,62,✓
Ss18,"SS18, nBAF chromatin remodeling complex subunit",miR-183-5p,62,✓
Nck1,non-catalytic region of tyrosine kinase adaptor protein 1,miR-183-5p,62,✓
Inpp4b,"inositol polyphosphate-4-phosphatase, type II",miR-183-5p,62,✓
Tanc2,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2",miR-376b-5p,62,✓
Stx11,syntaxin 11,miR-376b-5p,62,✓
A830018L16Rik,RIKEN cDNA A830018L16 gene,miR-376b-5p,62,
Emc2,ER membrane protein complex subunit 2,miR-376b-5p,62,✓
Rpusd2,RNA pseudouridylate synthase domain containing 2,miR-376b-5p,62,✓
Dsg2,desmoglein 2,miR-376b-5p,62,✓
Sh3rf1,SH3 domain containing ring finger 1,miR-376b-5p,62,✓
Fut9,fucosyltransferase 9,miR-376b-5p,62,✓
Nup98,nucleoporin 98,miR-182-5p,62,✓
Vat1l,vesicle amine transport protein 1 like,miR-182-5p,62,✓
Gpr155,G protein-coupled receptor 155,miR-182-5p,62,✓
D1Ertd622e,"DNA segment, Chr 1, ERATO Doi 622, expressed",miR-182-5p,62,
Cfhr1,complement factor H-related 1,miR-182-5p,62,✓
Phf21b,PHD finger protein 21B,miR-182-5p,62,✓
Celf6,"CUGBP, Elav-like family member 6",miR-182-5p,62,✓
Nynrin,NYN domain and retroviral integrase containing,miR-182-5p,62,✓
Tpk1,thiamine pyrophosphokinase,miR-182-5p,62,✓
Rab3c,"RAB3C, member RAS oncogene family",miR-182-5p,62,✓
Ptp4a1,protein tyrosine phosphatase 4a1,miR-182-5p,62,✓
Tbl1x,transducin (beta)-like 1 X-linked,miR-182-5p,62,✓
Ralgds,ral guanine nucleotide dissociation stimulator,miR-182-5p,62,✓
Pipox,pipecolic acid oxidase,miR-182-5p,62,✓
Dgcr2,DiGeorge syndrome critical region gene 2,miR-182-5p,62,✓
Celf1,"CUGBP, Elav-like family member 1",miR-182-5p,62,✓
Mef2d,myocyte enhancer factor 2D,miR-182-5p,62,✓
Ephb1,Eph receptor B1,miR-182-5p,62,✓
Arsj,arylsulfatase J,miR-182-5p,62,✓
Vps37a,vacuolar protein sorting 37A,miR-182-5p,62,✓
Pcdh7,protocadherin 7,miR-182-5p,62,✓
Mbnl3,muscleblind like splicing factor 3,miR-182-5p,62,✓
Fam78a,"family with sequence similarity 78, member A",miR-182-5p,62,✓
Vangl2,VANGL planar cell polarity 2,miR-182-5p,62,✓
Galc,galactosylceramidase,miR-182-5p,62,✓
Kat7,K(lysine) acetyltransferase 7,miR-182-5p,62,✓
Tmem203,transmembrane protein 203,miR-340-5p,62,✓
Styx,serine/threonine/tyrosine interaction protein,miR-340-5p,62,✓
Lrp6,low density lipoprotein receptor-related protein 6,miR-340-5p,62,✓
Slc39a10,"solute carrier family 39 (zinc transporter), member 10",miR-340-5p,62,✓
Senp6,SUMO/sentrin specific peptidase 6,miR-340-5p,62,✓
Mfhas1,malignant fibrous histiocytoma amplified sequence 1,miR-340-5p,62,✓
B2m,beta-2 microglobulin,miR-340-5p,62,✓
Atp2b4,"ATPase, Ca++ transporting, plasma membrane 4",miR-340-5p,62,✓
Man1a,"mannosidase 1, alpha",miR-340-5p,62,
Ppp2r5e,"protein phosphatase 2, regulatory subunit B', epsilon",miR-340-5p,62,✓
Coa7,cytochrome c oxidase assembly factor 7,miR-340-5p,62,✓
Ptprg,"protein tyrosine phosphatase, receptor type, G",miR-340-5p,62,✓
Mapk8ip2,mitogen-activated protein kinase 8 interacting protein 2,miR-340-5p,62,✓
Dnal1,"dynein, axonemal, light chain 1",miR-340-5p,62,✓
Dsc3,desmocollin 3,miR-340-5p,62,✓
Dio1,"deiodinase, iodothyronine, type I",miR-340-5p,62,✓
Phyhipl,phytanoyl-CoA hydroxylase interacting protein-like,miR-340-5p,62,✓
Uckl1,uridine-cytidine kinase 1-like 1,miR-340-5p,62,✓
Nsg2,neuron specific gene family member 2,miR-340-5p,62,✓
Myo10,myosin X,miR-340-5p,62,✓
Abt1,activator of basal transcription 1,miR-340-5p,62,✓
Mef2a,myocyte enhancer factor 2A,miR-340-5p,62,✓
Tmem240,transmembrane protein 240,miR-340-5p,62,✓
Ptprz1,"protein tyrosine phosphatase, receptor type Z, polypeptide 1",miR-340-5p,62,✓
Ube4a,ubiquitination factor E4A,miR-340-5p,62,✓
Hsf5,heat shock transcription factor family member 5,miR-340-5p,62,✓
Lat2,"linker for activation of T cells family, member 2",miR-340-5p,62,✓
Tlk1,tousled-like kinase 1,miR-340-5p,62,✓
Nova2,neuro-oncological ventral antigen 2,miR-340-5p,62,✓
Tyr,tyrosinase,miR-340-5p,62,✓
Otulinl,OTU deubiquitinase with linear linkage specificity like,miR-340-5p,62,✓
Nrcam,neuronal cell adhesion molecule,miR-340-5p,62,✓
Rpgrip1l,Rpgrip1-like,miR-340-5p,62,✓
Nmur2,neuromedin U receptor 2,miR-340-5p,62,✓
Mgat4a,"mannoside acetylglucosaminyltransferase 4, isoenzyme A",miR-340-5p,62,✓
Swt1,SWT1 RNA endoribonuclease homolog (S. cerevisiae),miR-30e-5p,62,✓
Dmtf1,cyclin D binding myb-like transcription factor 1,miR-30e-5p,62,✓
Pheta1,PH domain containing endocytic trafficking adaptor 1,miR-30e-5p,62,✓
Pgbd1,piggyBac transposable element derived 1,miR-30e-5p,62,✓
Sugt1,"SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)",miR-30e-5p,62,✓
N4bp2l2,NEDD4 binding protein 2-like 2,miR-30e-5p,62,✓
Serpina3m,"serine (or cysteine) peptidase inhibitor, clade A, member 3M",miR-30e-5p,62,
Serpina3c,"serine (or cysteine) peptidase inhibitor, clade A, member 3C",miR-30e-5p,62,
Trim16,tripartite motif-containing 16,miR-30e-5p,62,✓
Mtx3,metaxin 3,miR-30e-5p,62,✓
Sep 06,septin 6,miR-30e-5p,62,✓
Cfap52,cilia and flagella associated protein 52,miR-30e-5p,62,✓
Camk4,calcium/calmodulin-dependent protein kinase IV,miR-30e-5p,62,✓
Mon2,"MON2 homolog, regulator of endosome to Golgi trafficking",miR-30e-5p,62,✓
D10Wsu102e,"DNA segment, Chr 10, Wayne State University 102, expressed",miR-30e-5p,62,
Rnf44,ring finger protein 44,miR-30e-5p,62,✓
Zfand5,"zinc finger, AN1-type domain 5",miR-30e-5p,62,✓
Palm2,paralemmin 2,miR-30e-5p,62,✓
Nrbf2,nuclear receptor binding factor 2,miR-30e-5p,62,✓
Skint3,selection and upkeep of intraepithelial T cells 3,miR-30e-5p,62,
Iqcc,IQ motif containing C,miR-30e-5p,62,✓
Nudcd1,NudC domain containing 1,miR-30e-5p,62,✓
Fbxo30,F-box protein 30,miR-30e-5p,62,✓
Ano5,anoctamin 5,miR-30e-5p,62,✓
Nck2,non-catalytic region of tyrosine kinase adaptor protein 2,miR-30e-5p,62,✓
Coa4,cytochrome c oxidase assembly factor 4,miR-30e-5p,62,✓
Katna1,katanin p60 (ATPase-containing) subunit A1,miR-124-3p,62,✓
Nxn,nucleoredoxin,miR-124-3p,62,✓
Galnt12,polypeptide N-acetylgalactosaminyltransferase 12,miR-124-3p,62,✓
Rab11a,"RAB11A, member RAS oncogene family",miR-124-3p,62,✓
Adam19,a disintegrin and metallopeptidase domain 19 (meltrin beta),miR-124-3p,62,✓
Thop1,thimet oligopeptidase 1,miR-124-3p,62,✓
Nt5e,"5' nucleotidase, ecto",miR-124-3p,62,✓
Nrp2,neuropilin 2,miR-124-3p,62,✓
Tysnd1,trypsin domain containing 1,miR-124-3p,62,✓
Stard7,START domain containing 7,miR-124-3p,62,✓
Fgfr2,fibroblast growth factor receptor 2,miR-124-3p,62,✓
Mroh6,maestro heat-like repeat family member 6,miR-124-3p,62,✓
Synpo,synaptopodin,miR-124-3p,62,✓
Osbpl6,oxysterol binding protein-like 6,miR-124-3p,62,✓
St7l,suppression of tumorigenicity 7-like,miR-124-3p,62,✓
Pptc7,PTC7 protein phosphatase homolog,miR-124-3p,62,✓
Bend3,BEN domain containing 3,miR-124-3p,62,✓
Ikzf2,IKAROS family zinc finger 2,miR-124-3p,62,✓
Senp6,SUMO/sentrin specific peptidase 6,miR-146a-5p,61,✓
Enpp6,ectonucleotide pyrophosphatase/phosphodiesterase 6,miR-146a-5p,61,✓
Esrrb,"estrogen related receptor, beta",miR-146a-5p,61,✓
Svs6,seminal vesicle secretory protein 6,miR-146a-5p,61,
Btaf1,B-TFIID TATA-box binding protein associated factor 1,miR-146a-5p,61,✓
Leprotl1,leptin receptor overlapping transcript-like 1,miR-146a-5p,61,✓
Ift140,intraflagellar transport 140,miR-146a-5p,61,✓
Zxdb,"zinc finger, X-linked, duplicated B",miR-146a-5p,61,✓
Vapb,"vesicle-associated membrane protein, associated protein B and C",miR-146a-5p,61,✓
Plek,pleckstrin,miR-146a-5p,61,✓
Gpx6,glutathione peroxidase 6,miR-146a-5p,61,✓
Zfp286,zinc finger protein 286,miR-146a-5p,61,
Sgo2a,shugoshin 2A,miR-146a-5p,61,
Cdh12,cadherin 12,miR-146a-5p,61,✓
Vangl1,VANGL planar cell polarity 1,miR-183-5p,61,✓
Capn13,calpain 13,miR-183-5p,61,✓
Ccdc50,coiled-coil domain containing 50,miR-183-5p,61,✓
Strap,serine/threonine kinase receptor associated protein,miR-183-5p,61,✓
Sobp,sine oculis binding protein,miR-183-5p,61,✓
Zfp950,zinc finger protein 950,miR-183-5p,61,
Slitrk3,"SLIT and NTRK-like family, member 3",miR-183-5p,61,✓
Mcm4,minichromosome maintenance complex component 4,miR-183-5p,61,✓
Wdr33,WD repeat domain 33,miR-376b-5p,61,✓
Rragc,Ras-related GTP binding C,miR-376b-5p,61,✓
Rpgrip1l,Rpgrip1-like,miR-376b-5p,61,✓
Eif2ak2,eukaryotic translation initiation factor 2-alpha kinase 2,miR-376b-5p,61,✓
Sypl,synaptophysin-like protein,miR-182-5p,61,✓
Ces2g,carboxylesterase 2G,miR-182-5p,61,
Ifit1,interferon-induced protein with tetratricopeptide repeats 1,miR-182-5p,61,✓
Asxl3,"additional sex combs like 3, transcriptional regulator",miR-182-5p,61,✓
Lrch2,leucine-rich repeats and calponin homology (CH) domain containing 2,miR-182-5p,61,✓
Scn2a,"sodium channel, voltage-gated, type II, alpha",miR-182-5p,61,✓
F13a1,"coagulation factor XIII, A1 subunit",miR-182-5p,61,✓
Slc28a2,"solute carrier family 28 (sodium-coupled nucleoside transporter), member 2",miR-182-5p,61,✓
Ldlr,low density lipoprotein receptor,miR-182-5p,61,✓
Zfp668,zinc finger protein 668,miR-182-5p,61,
Scml4,Scm polycomb group protein like 4,miR-182-5p,61,✓
Fyttd1,forty-two-three domain containing 1,miR-182-5p,61,✓
Crtc1,CREB regulated transcription coactivator 1,miR-182-5p,61,✓
Spink13,"serine peptidase inhibitor, Kazal type 13",miR-182-5p,61,✓
Gm14085,predicted gene 14085,miR-182-5p,61,
Rab19,"RAB19, member RAS oncogene family",miR-182-5p,61,✓
Casp3,caspase 3,miR-182-5p,61,✓
Rbx1,ring-box 1,miR-182-5p,61,✓
Epm2aip1,EPM2A (laforin) interacting protein 1,miR-182-5p,61,✓
Lrrc28,leucine rich repeat containing 28,miR-182-5p,61,✓
Slc25a1,"solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1",miR-182-5p,61,✓
Asic2,acid-sensing (proton-gated) ion channel 2,miR-182-5p,61,✓
B4galnt1,"beta-1,4-N-acetyl-galactosaminyl transferase 1",miR-182-5p,61,✓
Rpusd4,RNA pseudouridylate synthase domain containing 4,miR-182-5p,61,✓
Rell1,RELT-like 1,miR-182-5p,61,✓
Mageb16,"melanoma antigen family B, 16",miR-182-5p,61,✓
Tube1,epsilon-tubulin 1,miR-340-5p,61,✓
Lrrc55,leucine rich repeat containing 55,miR-340-5p,61,✓
Prrg1,proline rich Gla (G-carboxyglutamic acid) 1,miR-340-5p,61,✓
Sec24a,"Sec24 related gene family, member A (S. cerevisiae)",miR-340-5p,61,✓
Il4,interleukin 4,miR-340-5p,61,✓
Hyal6,hyaluronoglucosaminidase 6,miR-340-5p,61,
Ccdc185,coiled-coil domain containing 185,miR-340-5p,61,✓
Arl4a,ADP-ribosylation factor-like 4A,miR-340-5p,61,✓
Clcc1,chloride channel CLIC-like 1,miR-340-5p,61,✓
Glrb,"glycine receptor, beta subunit",miR-340-5p,61,✓
Akt3,thymoma viral proto-oncogene 3,miR-340-5p,61,✓
Smyd3,SET and MYND domain containing 3,miR-340-5p,61,✓
Ddias,DNA damage-induced apoptosis suppressor,miR-340-5p,61,✓
Rbbp8,"retinoblastoma binding protein 8, endonuclease",miR-340-5p,61,✓
B3galt6,"UDP-Gal:betaGal beta 1,3-galactosyltransferase, polypeptide 6",miR-340-5p,61,✓
Zmat5,"zinc finger, matrin type 5",miR-340-5p,61,✓
Aldh1a2,"aldehyde dehydrogenase family 1, subfamily A2",miR-340-5p,61,✓
Tbcel,tubulin folding cofactor E-like,miR-340-5p,61,✓
Ppp3cc,"protein phosphatase 3, catalytic subunit, gamma isoform",miR-340-5p,61,✓
Mrpl41,mitochondrial ribosomal protein L41,miR-340-5p,61,✓
Ssxb1,"synovial sarcoma, X member B1",miR-340-5p,61,
Tnfaip8l3,"tumor necrosis factor, alpha-induced protein 8-like 3",miR-340-5p,61,✓
Auh,AU RNA binding protein/enoyl-coenzyme A hydratase,miR-340-5p,61,✓
Kat2b,K(lysine) acetyltransferase 2B,miR-340-5p,61,✓
Zfp839,zinc finger protein 839,miR-340-5p,61,
Tinag,tubulointerstitial nephritis antigen,miR-340-5p,61,✓
Ccne2,cyclin E2,miR-340-5p,61,✓
Eid1,EP300 interacting inhibitor of differentiation 1,miR-340-5p,61,✓
Sox2,SRY (sex determining region Y)-box 2,miR-340-5p,61,✓
Kcnt2,"potassium channel, subfamily T, member 2",miR-340-5p,61,✓
Nek7,NIMA (never in mitosis gene a)-related expressed kinase 7,miR-340-5p,61,✓
Tardbp,TAR DNA binding protein,miR-340-5p,61,✓
Dnaja4,DnaJ heat shock protein family (Hsp40) member A4,miR-340-5p,61,✓
Adgrl4,adhesion G protein-coupled receptor L4,miR-340-5p,61,✓
Adamts9,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9",miR-30e-5p,61,✓
Amer1,APC membrane recruitment 1,miR-30e-5p,61,✓
Gtf2a1,"general transcription factor II A, 1",miR-30e-5p,61,✓
Fbxo34,F-box protein 34,miR-30e-5p,61,✓
Golt1a,golgi transport 1A,miR-30e-5p,61,✓
Fech,ferrochelatase,miR-30e-5p,61,✓
Sirt4,sirtuin 4,miR-30e-5p,61,✓
Fam172a,"family with sequence similarity 172, member A",miR-30e-5p,61,✓
Fbxl17,F-box and leucine-rich repeat protein 17,miR-30e-5p,61,✓
Spin4,"spindlin family, member 4",miR-30e-5p,61,✓
Rtn4r,reticulon 4 receptor,miR-30e-5p,61,✓
M1ap,meiosis 1 associated protein,miR-30e-5p,61,✓
Arl8b,ADP-ribosylation factor-like 8B,miR-30e-5p,61,✓
Pdzd9,PDZ domain containing 9,miR-30e-5p,61,✓
Ksr2,kinase suppressor of ras 2,miR-30e-5p,61,✓
Mnd1,meiotic nuclear divisions 1,miR-30e-5p,61,✓
Lrrc18,leucine rich repeat containing 18,miR-30e-5p,61,✓
Kctd3,potassium channel tetramerisation domain containing 3,miR-30e-5p,61,✓
Dach2,dachshund family transcription factor 2,miR-30e-5p,61,✓
Atg16l2,autophagy related 16-like 2 (S. cerevisiae),miR-30e-5p,61,✓
Mtmr6,myotubularin related protein 6,miR-30e-5p,61,✓
Acsm2,acyl-CoA synthetase medium-chain family member 2,miR-30e-5p,61,✓
Tbc1d2b,"TBC1 domain family, member 2B",miR-30e-5p,61,✓
Fam124a,"family with sequence similarity 124, member A",miR-30e-5p,61,✓
Prr36,proline rich 36,miR-30e-5p,61,✓
Il2,interleukin 2,miR-30e-5p,61,✓
Notch1,notch 1,miR-30e-5p,61,✓
Srsf10,serine/arginine-rich splicing factor 10,miR-30e-5p,61,✓
Epg5,ectopic P-granules autophagy protein 5 homolog (C. elegans),miR-30e-5p,61,✓
Zeb2,zinc finger E-box binding homeobox 2,miR-30e-5p,61,✓
Arl6ip6,ADP-ribosylation factor-like 6 interacting protein 6,miR-30e-5p,61,✓
Tcp11l1,t-complex 11 like 1,miR-30e-5p,61,✓
Dlx2,distal-less homeobox 2,miR-124-3p,61,✓
Pde4a,"phosphodiesterase 4A, cAMP specific",miR-124-3p,61,✓
Adam12,a disintegrin and metallopeptidase domain 12 (meltrin alpha),miR-124-3p,61,✓
Tgfbr3,"transforming growth factor, beta receptor III",miR-124-3p,61,✓
Ccdc130,coiled-coil domain containing 130,miR-124-3p,61,✓
Slc26a5,"solute carrier family 26, member 5",miR-124-3p,61,✓
Pcgf2,polycomb group ring finger 2,miR-124-3p,61,✓
Rtn3,reticulon 3,miR-124-3p,61,✓
Kpnb1,karyopherin (importin) beta 1,miR-124-3p,61,✓
Osbpl7,oxysterol binding protein-like 7,miR-124-3p,61,✓
Dmxl1,Dmx-like 1,miR-124-3p,61,✓
Arhgap17,Rho GTPase activating protein 17,miR-124-3p,61,✓
Kdelr2,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2,miR-124-3p,61,✓
Mcf2,mcf.2 transforming sequence,miR-124-3p,61,✓
Socs6,suppressor of cytokine signaling 6,miR-124-3p,61,✓
Txlnb,taxilin beta,miR-124-3p,61,✓
Epb41l4b,erythrocyte membrane protein band 4.1 like 4b,miR-124-3p,61,✓
Prdx6b,peroxiredoxin 6B,miR-124-3p,61,
Onecut3,"one cut domain, family member 3",miR-124-3p,61,✓
Elmsan1,ELM2 and Myb/SANT-like domain containing 1,miR-124-3p,61,✓
Lipg,"lipase, endothelial",miR-124-3p,61,✓
Slc4a7,"solute carrier family 4, sodium bicarbonate cotransporter, member 7",miR-124-3p,61,✓
Ralgps1,Ral GEF with PH domain and SH3 binding motif 1,miR-124-3p,61,✓
Aif1l,allograft inflammatory factor 1-like,miR-124-3p,61,✓
Rab2a,"RAB2A, member RAS oncogene family",miR-124-3p,61,✓
Rhbdl3,rhomboid like 3,miR-124-3p,61,✓
Timd4,T cell immunoglobulin and mucin domain containing 4,miR-124-3p,61,✓
Vkorc1l1,"vitamin K epoxide reductase complex, subunit 1-like 1",miR-124-3p,61,✓
Phtf2,putative homeodomain transcription factor 2,miR-124-3p,61,✓
AU015228,expressed sequence AU015228,miR-124-3p,61,
Zfp236,zinc finger protein 236,miR-146a-5p,60,
Cemip,"cell migration inducing protein, hyaluronan binding",miR-146a-5p,60,✓
Ramp1,receptor (calcitonin) activity modifying protein 1,miR-146a-5p,60,✓
Fam84a,"family with sequence similarity 84, member A",miR-146a-5p,60,✓
Midn,midnolin,miR-146a-5p,60,✓
Dcx,doublecortin,miR-146a-5p,60,✓
Vps13b,vacuolar protein sorting 13B,miR-146a-5p,60,✓
Hoxa5,homeobox A5,miR-146a-5p,60,✓
Lss,lanosterol synthase,miR-146a-5p,60,✓
Tmem154,transmembrane protein 154,miR-146a-5p,60,✓
Fam210b,"family with sequence similarity 210, member B",miR-146a-5p,60,✓
Cst10,cystatin 10 (chondrocytes),miR-146a-5p,60,
Zfp955a,zinc finger protein 955A,miR-146a-5p,60,
Sub1,SUB1 homolog (S. cerevisiae),miR-146a-5p,60,✓
4930402K13Rik,RIKEN cDNA 4930402K13 gene,miR-146a-5p,60,
Scgb2b21,"secretoglobin, family 2B, member 21",miR-183-5p,60,
Stx11,syntaxin 11,miR-183-5p,60,✓
Nudt4,nudix (nucleoside diphosphate linked moiety X)-type motif 4,miR-183-5p,60,✓
Nr4a3,"nuclear receptor subfamily 4, group A, member 3",miR-183-5p,60,✓
Eny2,ENY2 transcription and export complex 2 subunit,miR-183-5p,60,✓
Nwd2,NACHT and WD repeat domain containing 2,miR-183-5p,60,✓
H2-Ob,"histocompatibility 2, O region beta locus",miR-183-5p,60,
Ahcyl2,S-adenosylhomocysteine hydrolase-like 2,miR-376b-5p,60,✓
Syne1,"spectrin repeat containing, nuclear envelope 1",miR-376b-5p,60,✓
Rbm41,RNA binding motif protein 41,miR-376b-5p,60,✓
Kirrel,kirre like nephrin family adhesion molecule 1,miR-376b-5p,60,✓
Fbxo33,F-box protein 33,miR-376b-5p,60,✓
Sep 11,septin 11,miR-376b-5p,60,✓
Ppp1r9b,"protein phosphatase 1, regulatory subunit 9B",miR-182-5p,60,✓
Bcl2l11,BCL2-like 11 (apoptosis facilitator),miR-182-5p,60,✓
Rtn4,reticulon 4,miR-182-5p,60,✓
Samd4,sterile alpha motif domain containing 4,miR-182-5p,60,✓
D630045J12Rik,RIKEN cDNA D630045J12 gene,miR-182-5p,60,
Rundc3b,RUN domain containing 3B,miR-182-5p,60,✓
Sox5,SRY (sex determining region Y)-box 5,miR-182-5p,60,✓
Sec14l2,SEC14-like lipid binding 2,miR-182-5p,60,✓
